end_of_day,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
7,1.0,5.0,2,1,0.2
7,1.0,5.0,2,3,0.2
7,1.0,5.0,2,7,0.3
7,1.0,5.0,2,14,0.4
7,1.0,5.0,2,21,0.3
7,1.0,5.0,4,1,0.1
7,1.0,5.0,4,3,0.1
7,1.0,5.0,4,7,0.2
7,1.0,5.0,4,14,0.2
7,1.0,5.0,4,21,0.15
7,1.0,5.0,6,1,0.03
7,1.0,5.0,6,3,0.05
7,1.0,5.0,6,7,0.13
7,1.0,5.0,6,14,0.1
7,1.0,5.0,6,21,0.13
7,1.0,10.0,2,1,0.2
7,1.0,10.0,2,3,0.25
7,1.0,10.0,2,7,0.4
7,1.0,10.0,2,14,0.43
7,1.0,10.0,2,21,0.45
7,1.0,10.0,4,1,0.07
7,1.0,10.0,4,3,0.1
7,1.0,10.0,4,7,0.2
7,1.0,10.0,4,14,0.2
7,1.0,10.0,4,21,0.2
7,1.0,10.0,6,1,0.03
7,1.0,10.0,6,3,0.05
7,1.0,10.0,6,7,0.15
7,1.0,10.0,6,14,0.13
7,1.0,10.0,6,21,0.15
7,1.0,20.0,2,1,0.31
7,1.0,20.0,2,3,0.33
7,1.0,20.0,2,7,0.5
7,1.0,20.0,2,14,0.5
7,1.0,20.0,2,21,0.5
7,1.0,20.0,4,1,0.07
7,1.0,20.0,4,3,0.11
7,1.0,20.0,4,7,0.25
7,1.0,20.0,4,14,0.25
7,1.0,20.0,4,21,0.25
7,1.0,20.0,6,1,0.03
7,1.0,20.0,6,3,0.08
7,1.0,20.0,6,7,0.17
7,1.0,20.0,6,14,0.17
7,1.0,20.0,6,21,0.17
7,1.0,30.0,2,1,0.41
7,1.0,30.0,2,3,0.4
7,1.0,30.0,2,7,0.5
7,1.0,30.0,2,14,0.5
7,1.0,30.0,2,21,0.5
7,1.0,30.0,4,1,0.09
7,1.0,30.0,4,3,0.16
7,1.0,30.0,4,7,0.25
7,1.0,30.0,4,14,0.25
7,1.0,30.0,4,21,0.25
7,1.0,30.0,6,1,0.05
7,1.0,30.0,6,3,0.11
7,1.0,30.0,6,7,0.17
7,1.0,30.0,6,14,0.17
7,1.0,30.0,6,21,0.17
7,2.0,5.0,2,1,
7,2.0,5.0,2,3,
7,2.0,5.0,2,7,
7,2.0,5.0,2,14,
7,2.0,5.0,2,21,
7,2.0,5.0,4,1,0.05
7,2.0,5.0,4,3,0.1
7,2.0,5.0,4,7,0.15
7,2.0,5.0,4,14,0.2
7,2.0,5.0,4,21,0.2
7,2.0,5.0,6,1,0.03
7,2.0,5.0,6,3,0.07
7,2.0,5.0,6,7,0.1
7,2.0,5.0,6,14,0.13
7,2.0,5.0,6,21,0.13
7,2.0,10.0,2,1,
7,2.0,10.0,2,3,
7,2.0,10.0,2,7,
7,2.0,10.0,2,14,
7,2.0,10.0,2,21,
7,2.0,10.0,4,1,0.07
7,2.0,10.0,4,3,0.1
7,2.0,10.0,4,7,0.2
7,2.0,10.0,4,14,0.21
